epoch,train_loss,train_branch_acc,train_exact_match,val_loss,val_branch_acc,val_exact_match,train_samples,val_samples,elapsed_s
1,0.8868613588406788,0.5804554704913267,0.2036960945828084,0.7960635364187795,0.6399754018847007,0.2651053215077605,1031900,115456,8.658389329910278
2,0.7512366573095945,0.6641069871111542,0.296024808605485,0.7150197937060354,0.6824966509608278,0.32194948725055433,1031900,115456,17.347283601760864
3,0.6907295715301718,0.6956229608812223,0.3394592499273185,0.6731791728880347,0.7043808896895787,0.3536238913525499,1031900,115456,25.92367720603943
4,0.6569578991981541,0.7124763381464613,0.36467099525147784,0.6489115443303686,0.7163421563192904,0.3714055570953437,1031900,115456,34.55348825454712
5,0.6348334336858443,0.7230762024744,0.3809952514778564,0.6329003723127614,0.7236320907243163,0.38276053215077604,1031900,115456,43.27421236038208
6,0.6188554465039454,0.7308925283457699,0.3933588526019963,0.6216813990652165,0.7287971175166297,0.39124861419068735,1031900,115456,51.92930269241333
7,0.6064451225100359,0.7367726200859256,0.4031999224731079,0.6138228850724163,0.732691819105691,0.3966619318181818,1031900,115456,60.573365688323975
8,0.5962123814300576,0.741665213037439,0.4112772555480182,0.6082878605753778,0.7351949371766445,0.4011398281596452,1031900,115456,69.21208620071411
9,0.588109365846427,0.7453464482992538,0.41721000096908617,0.5997563461771033,0.7390636548410938,0.40661377494456763,1031900,115456,77.79973864555359
10,0.5806689318828266,0.748880059437284,0.4231650353716445,0.5958404218542602,0.7407814809682187,0.4097751524390244,1031900,115456,86.33797192573547
11,0.574760048980918,0.7515114513680267,0.42750266498691736,0.5915104345048875,0.7426696461566888,0.41374203159645234,1031900,115456,94.96523380279541
12,0.5686731275810684,0.7546981296637271,0.4328965985076073,0.5880595141662462,0.7446155533998522,0.4159420038802661,1031900,115456,103.56095790863037
13,0.5641108456364042,0.7567089834286268,0.4363959686016087,0.5857039730987633,0.7453171193643755,0.4164270371396896,1031900,115456,112.17097425460815
14,0.5596548010418264,0.7587602157831831,0.43983137900959396,0.5861313558470648,0.7451641029194382,0.41712860310421285,1031900,115456,120.87245202064514
15,0.5550100140518915,0.7607500726814613,0.4434179668572536,0.5782677761202641,0.748412093495935,0.4222474362527716,1031900,115456,129.392502784729
16,0.5510023794251364,0.7627244242013115,0.4465878476596569,0.5776808027946235,0.7493388534737621,0.4242741823725055,1031900,115456,137.9932861328125
17,0.5477890188040827,0.7643318150983622,0.44947766256420196,0.5752940245319629,0.7503118070953437,0.4257032982261641,1031900,115456,146.50317978858948
18,0.5451806230701695,0.7655208838065704,0.45138870045547047,0.5733785249970176,0.7507564209164819,0.4260064440133038,1031900,115456,155.1125078201294
19,0.5414221408060094,0.7672972187227445,0.45480763639887584,0.5729358501550628,0.7514955192165558,0.427721383037694,1031900,115456,163.68269062042236
20,0.5383899220046476,0.7686209904060471,0.4568620990406047,0.5689162627820694,0.7534154425351072,0.4311599223946785,1031900,115456,172.2189872264862
21,0.5360124760871364,0.7698401007849598,0.4589533869561004,0.5710015259930934,0.7525377633037694,0.4300685975609756,1031900,115456,181.093759059906
22,0.5330952679844071,0.7712543205090933,0.46152437251671674,0.5678900264847834,0.7543970574648928,0.43257171563192903,1031900,115456,189.61037588119507
23,0.5308415392602942,0.7723054559550344,0.4634131214264948,0.5656858496285331,0.7549282843680709,0.4332126524390244,1031900,115456,198.19582200050354
24,0.5285851303090975,0.7733956778757631,0.46537358271150303,0.5665651894197231,0.7543393154101996,0.432606360864745,1031900,115456,206.82258892059326
25,0.5258496187918292,0.7748008527958136,0.46791937203217365,0.563688355512471,0.7562621258314856,0.4361315133037694,1031900,115456,215.4528260231018
26,0.5238152929132837,0.7756865975385212,0.46945440449655973,0.5641438289650792,0.7554248660384331,0.4342606707317073,1031900,115456,223.87632608413696
27,0.521805989435216,0.7765749265109668,0.4709942823917046,0.5613565002206689,0.7570531919807835,0.4377685005543237,1031900,115456,232.4159140586853
28,0.5201054378472646,0.777337597312401,0.4725147785638143,0.5610346406896468,0.7575844188839616,0.4381669207317073,1031900,115456,241.05238842964172
29,0.5177996561707239,0.7785789966728042,0.4745450140517492,0.5591993594909719,0.7583033074648928,0.43989052106430154,1031900,115456,249.59934043884277
30,0.5157708620013095,0.7793949672125852,0.4760470975869755,0.5589679825861015,0.7580636779379157,0.4392582455654102,1031900,115456,258.2226457595825
