epoch,train_loss,train_branch_acc,train_exact_match,val_loss,val_branch_acc,val_exact_match,train_samples,val_samples,elapsed_s
1,0.9453667525860463,0.5389169905574998,0.02975253551762255,0.8876949889279301,0.5840932868711333,0.042161975137780194,785244,80926,2.413874626159668
2,0.8686876960967145,0.5956660180360075,0.04810351941562113,0.8476992818887525,0.6085600836978639,0.052665398017942316,785244,80926,3.935807228088379
3,0.8293008176864984,0.6194705085298328,0.059995364498168724,0.8122164073621596,0.6292559457611481,0.06505943701653362,785244,80926,5.3739166259765625
4,0.7936328967217386,0.6399588323289747,0.07254178319095721,0.780787692719806,0.6466236644176985,0.07741640511084201,785244,80926,6.867477893829346
5,0.7623598076680843,0.6571053073948989,0.08459663493130798,0.7554663065451285,0.6604737661567358,0.08736376442676025,785244,80926,8.334121465682983
6,0.7361161954839741,0.6713028052427016,0.09563651552893114,0.7333476605265798,0.6727462949690663,0.09810196970071423,785244,80926,9.856311559677124
7,0.7148943677921163,0.6824220666867029,0.1053685223955866,0.7178965167768526,0.6801378213841451,0.10497244396114969,785244,80926,11.414012432098389
8,0.6979069889705154,0.6913116602397896,0.11353159018088645,0.706238142969086,0.6856840405638073,0.11045893779502261,785244,80926,12.922524213790894
9,0.6842047373878849,0.6983266772281397,0.12016265008073923,0.6955687621088614,0.6918336916854081,0.11667449274645973,785244,80926,14.305860042572021
10,0.6730321877820471,0.7039472231985642,0.1259799501810902,0.6890137920821441,0.6953677845603803,0.11931888391864172,785244,80926,15.795358896255493
11,0.6635187937728875,0.708858435509642,0.13096184116019988,0.6822982969938806,0.698920412887494,0.1226676222721993,785244,80926,17.305761575698853
12,0.6554788168165235,0.712823445111753,0.1357285124114288,0.6778891109528727,0.701500959724522,0.12599164668956825,785244,80926,18.814074993133545
13,0.6484135490367852,0.7161977678275797,0.13930319747747197,0.6723652429355957,0.7037643443804628,0.1282900427551096,785244,80926,20.340639352798462
14,0.6421825073373217,0.7195402533055543,0.1435057128739602,0.6686430106752134,0.7054860819349364,0.13016830190544448,785244,80926,21.92003870010376
15,0.6364917641219539,0.7223601835862483,0.1467149064494603,0.66377384872157,0.7078647982930908,0.13215777376862814,785244,80926,23.44020938873291
16,0.6311429648743273,0.725189028293541,0.15004890199734094,0.6618557863088992,0.7086762391979504,0.13280033610953215,785244,80926,24.956602096557617
17,0.6268467471190186,0.7270307063791637,0.15249527535390273,0.6586227660092169,0.7106451161143101,0.13569186664360033,785244,80926,26.431199550628662
18,0.6226385979363573,0.7292117694202906,0.1548639658501052,0.6574126451473242,0.7113000354233086,0.1357907223883548,785244,80926,27.976017951965332
19,0.6188636326731439,0.7310791295444473,0.15776370147368207,0.6549649225682374,0.7130526653980179,0.13891703531621483,785244,80926,29.394418716430664
20,0.6151880634143089,0.7329568898329691,0.15961917569570733,0.6534479474024392,0.713588134015438,0.1384227565924425,785244,80926,30.851592779159546
21,0.6115723054294415,0.7347213095547371,0.16196749035968439,0.6516611533140466,0.7144757762235457,0.13979438005091072,785244,80926,32.273688316345215
22,0.6087432893240176,0.7360085952052271,0.16363194115459653,0.6512755903040924,0.7150647917027079,0.1415737834564911,785244,80926,33.69122576713562
23,0.605874164782781,0.737362951303459,0.1655587307894107,0.6474372213004597,0.7167123874486157,0.14256234090403577,785244,80926,35.151660203933716
24,0.6030504961811255,0.7389055716015235,0.16734288959864704,0.6465315144122674,0.716660900081556,0.14178385191409434,785244,80926,36.606701612472534
25,0.6004197034518783,0.7401325787483466,0.16878957368665026,0.6455054072523201,0.7168709685391592,0.14277240936163904,785244,80926,38.054941177368164
26,0.5981781328349496,0.7411121044329321,0.17049350265649912,0.643755364654604,0.7184403034871364,0.1445023848948422,785244,80926,39.54194450378418
27,0.595466269231178,0.7424403539961252,0.1722865758923341,0.6424615157710266,0.7193732545782566,0.14530558782097225,785244,80926,41.03978371620178
28,0.5931922350598947,0.7436667243981913,0.17379820794555578,0.6409660647685731,0.7201991119458929,0.14546622840619824,785244,80926,42.4269232749939
29,0.5911720279280097,0.7446239640162803,0.17506533001207267,0.6429910998978076,0.7193835520516686,0.14567629686380149,785244,80926,43.890791177749634
30,0.5889995290538481,0.7455468194174889,0.17630443530927967,0.6395108327378193,0.7207469375314073,0.14718384697130713,785244,80926,45.272255659103394
