iteration,checkpoint_dir,checkpoint_file,opponent,episodes,wins,losses,draws,win_rate
205,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000205,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000205/checkpoint-205,baseline,20,17,3,0,0.85
210,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000210,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000210/checkpoint-210,baseline,20,15,5,0,0.75
215,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000215,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000215/checkpoint-215,baseline,20,16,4,0,0.8
220,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000220,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000220/checkpoint-220,baseline,20,14,6,0,0.7
225,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000225,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000225/checkpoint-225,baseline,20,17,3,0,0.85
230,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000230,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000230/checkpoint-230,baseline,20,16,4,0,0.8
235,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000235,/home/hice1/wsun377/Desktop/cs8803drl/ray_results/PPO_continue_ckpt160_cpu32_20260408_183648/PPO_Soccer_79ad0_00000_0_2026-04-08_18-37-08/checkpoint_000235/checkpoint-235,baseline,20,16,4,0,0.8
