epoch,train_loss,train_branch_acc,train_exact_match,val_loss,val_branch_acc,val_exact_match,train_samples,val_samples,elapsed_s
1,0.974409193130112,0.51542332913396,0.0234111832541913,0.9157560741293457,0.5664928630820399,0.034939717294900224,515950,57728,1.6678380966186523
2,0.8971246890340598,0.5777271699454082,0.040296540362438224,0.8860530588949335,0.5854062730968219,0.042700249445676276,515950,57728,2.67252779006958
3,0.8697081448144836,0.5951555383273573,0.0474658397131505,0.8605002464846339,0.6010341601995566,0.04890174611973393,515950,57728,3.7369699478149414
4,0.8422082825905709,0.6121116387246827,0.05574571179377847,0.8360358582367654,0.6151174473392461,0.05465285476718403,515950,57728,4.807570457458496
5,0.8162121498322508,0.6272568401330878,0.06375811609652098,0.8129715882489528,0.6284327651515151,0.06353935698447893,515950,57728,5.805849552154541
6,0.7916471652243416,0.6414329553897341,0.07242756081015603,0.7927954430855034,0.6409108231707317,0.07045108093126386,515950,57728,6.799041509628296
7,0.7692187860938788,0.6539587169299351,0.08134315340633783,0.7746192956975189,0.650403616962306,0.07710296563192905,515950,57728,7.806481599807739
8,0.7496380159732202,0.6647456148851633,0.0895358077333075,0.7585839019910724,0.6589465539541759,0.08385878603104213,515950,57728,8.909651517868042
9,0.7323226805918092,0.6740320444487515,0.09738734373485802,0.7457867860794067,0.6654367609016999,0.08846660199556541,515950,57728,9.928817510604858
10,0.7177581830234511,0.6816157896436993,0.10386277740091095,0.7357843524865195,0.6702755450849963,0.09354212860310421,515950,57728,10.91193699836731
11,0.7052297640962765,0.6882808411667797,0.10992150402170753,0.7285475220754247,0.6743983277900961,0.09712791019955654,515950,57728,11.991672039031982
12,0.6941577483579764,0.6941544723325904,0.11580773330749104,0.7217218738437492,0.6778801736881005,0.10015936807095344,515950,57728,12.970369815826416
13,0.6848608467289846,0.6987511709791,0.12015699195658494,0.7143492382804465,0.6821559728381374,0.10454199002217295,515950,57728,13.994057178497314
14,0.676428732419848,0.7031391930742643,0.12438996026746778,0.7093526122311002,0.6839257668144864,0.10608370288248337,515950,57728,15.042431354522705
15,0.6689597135172852,0.7069486707368285,0.12852989630778175,0.7045081766640268,0.687208402623799,0.10842225609756098,515950,57728,16.07313299179077
16,0.6625020123151906,0.7101065994766935,0.13229964143812384,0.7017267553875028,0.6886894863266815,0.11124584257206209,515950,57728,17.55997633934021
17,0.6565988785812289,0.7132335174597022,0.13573408275995735,0.6974326651006475,0.6908432649667405,0.11335920177383592,515950,57728,18.73098587989807
18,0.6507903599803768,0.7162764479762251,0.1386820428336079,0.6980412324886365,0.6905632160014782,0.11320329822616408,515950,57728,19.757811784744263
19,0.6460049921279384,0.7184245889459573,0.14132377168330265,0.6939499431068775,0.6929826080931264,0.11498752771618626,515950,57728,20.824907779693604
20,0.6416473872673836,0.7207239073553638,0.14420195755402657,0.6910488742946785,0.6938054323725056,0.11658120842572062,515950,57728,21.902143955230713
21,0.6369212023654365,0.7231059211163873,0.14690376974513034,0.6893300227738273,0.6954308712121212,0.11829614745011087,515950,57728,22.954294681549072
22,0.6333257280314243,0.724858997964919,0.14911522434344412,0.6869631703042667,0.6966752124907613,0.11805363082039912,515950,57728,24.178086280822754
23,0.6296367816156121,0.7266259650482928,0.15129566818490164,0.6857595265308135,0.6973883268662232,0.11909298780487805,515950,57728,25.222342491149902
24,0.6257113485935181,0.7286284200665439,0.15388119003779435,0.6850121408502702,0.6979686345158906,0.12013234478935698,515950,57728,26.286908864974976
25,0.6225438850995054,0.7302173983267113,0.15568950479697646,0.6836233536842922,0.6986990715077606,0.12144886363636363,515950,57728,27.35142207145691
26,0.6198123165280889,0.7314752721516943,0.1568834189359434,0.6844552139485226,0.6990772819660015,0.12212444567627495,515950,57728,28.473691940307617
27,0.6174766280649013,0.7327247472300288,0.15895726330070745,0.6809345496996014,0.7007979951958611,0.12326773835920177,515950,57728,29.576632976531982
28,0.6138663868368545,0.7345159414671965,0.1608179087120845,0.6807136452383054,0.7008095436067997,0.12299057649667405,515950,57728,30.585083484649658
29,0.6114914985307948,0.7356681849016378,0.16239170462254093,0.6806457238292483,0.7001772681079084,0.12273073725055432,515950,57728,31.560611963272095
30,0.6084640041845392,0.7372662079658882,0.1649132667894176,0.6797888794389374,0.7015053353658537,0.12420315964523282,515950,57728,32.614028453826904
